,Input,Response
1,Ich muss schlafen gehen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich muss schlafen gehen."",""model"":""UNK"",""editXml"":""Ich muss schlafen gehen."",""corrected"":""Ich muss schlafen gehen."",""editOps"":[]}"
2,Ich werde bald zurück sein.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich werde bald zurück sein."",""model"":""UNK"",""editXml"":""Ich werde bald zurück sein."",""corrected"":""Ich werde bald zurück sein."",""editOps"":[]}"
3,Ich finde keine Worte.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich finde keine Worte."",""model"":""UNK"",""editXml"":""Ich finde keine Worte."",""corrected"":""Ich finde keine Worte."",""editOps"":[]}"
4,Das wird nie enden.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das wird nie enden."",""model"":""UNK"",""editXml"":""Das wird nie enden."",""corrected"":""Das wird nie enden."",""editOps"":[]}"
5,"Ich weiß einfach nicht, was ich sagen soll...","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich weiß einfach nicht, was ich sagen soll..."",""model"":""UNK"",""editXml"":""Ich weiß einfach nicht, was ich sagen soll..."",""corrected"":""Ich weiß einfach nicht, was ich sagen soll..."",""editOps"":[]}"
6,Das war ein böses Kaninchen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das war ein böses Kaninchen."",""model"":""UNK"",""editXml"":""Das war ein böses Kaninchen."",""corrected"":""Das war ein böses Kaninchen."",""editOps"":[]}"
7,Ich war in den Bergen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich war in den Bergen."",""model"":""UNK"",""editXml"":""Ich war in den Bergen."",""corrected"":""Ich war in den Bergen."",""editOps"":[]}"
8,"Ich weiß nicht, ob ich Zeit dazu habe.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich weiß nicht, ob ich Zeit dazu habe."",""model"":""UNK"",""editXml"":""Ich weiß nicht, ob ich Zeit dazu habe."",""corrected"":""Ich weiß nicht, ob ich Zeit dazu habe."",""editOps"":[]}"
9,Aus irgendeinem Grund hat das Mikrofon gerade nicht funktioniert.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Aus irgendeinem Grund hat das Mikrofon gerade nicht funktioniert."",""model"":""UNK"",""editXml"":""Aus irgendeinem Grund hat das Mikrofon gerade nicht funktioniert."",""corrected"":""Aus irgendeinem Grund hat das Mikrofon gerade nicht funktioniert."",""editOps"":[]}"
10,Letztendlich muss jeder selbst lernen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Letztendlich muss jeder selbst lernen."",""model"":""UNK"",""editXml"":""Letztendlich muss jeder selbst lernen."",""corrected"":""Letztendlich muss jeder selbst lernen."",""editOps"":[]}"
11,Die Ausbildung in dieser Welt enttäuscht mich.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Die Ausbildung in dieser Welt enttäuscht mich."",""model"":""UNK"",""editXml"":""Die Ausbildung in dieser Welt enttäuscht mich."",""corrected"":""Die Ausbildung in dieser Welt enttäuscht mich."",""editOps"":[]}"
12,Zum Lernen sollte man nicht gezwungen werden. Zum Lernen sollte man ermutigt werden.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Zum Lernen sollte man nicht gezwungen werden. Zum Lernen sollte man ermutigt werden."",""model"":""UNK"",""editXml"":""Zum Lernen sollte man nicht gezwungen werden. Zum Lernen sollte man ermutigt werden."",""corrected"":""Zum Lernen sollte man nicht gezwungen werden. Zum Lernen sollte man ermutigt werden."",""editOps"":[]}"
13,"Es ist eine schwere Aufgabe, zwischen ""richtig"" und ""falsch"" zu unterscheiden, aber man muss es tun.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Es ist eine schwere Aufgabe, zwischen \""richtig\"" und \""falsch\"" zu unterscheiden, aber man muss es tun."",""model"":""UNK"",""editXml"":""Es ist eine schwere Aufgabe, zwischen \""richtig\"" und \""falsch\"" zu unterscheiden, aber man muss es tun."",""corrected"":""Es ist eine schwere Aufgabe, zwischen \""richtig\"" und \""falsch\"" zu unterscheiden, aber man muss es tun."",""editOps"":[]}"
14,"Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache.","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Nickerchen<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache."",""model"":""UNK"",""editXml"":""Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache."",""corrected"":""Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache."",""editOps"":[]}"
15,"Das ist, weil du nicht allein sein willst.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das ist, weil du nicht allein sein willst."",""model"":""UNK"",""editXml"":""Das ist, weil du nicht allein sein willst."",""corrected"":""Das ist, weil du nicht allein sein willst."",""editOps"":[]}"
16,Manchmal kann er ein seltsamer Junge sein.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Manchmal kann er ein seltsamer Junge sein."",""model"":""UNK"",""editXml"":""Manchmal kann er ein seltsamer Junge sein."",""corrected"":""Manchmal kann er ein seltsamer Junge sein."",""editOps"":[]}"
17,"Ich werde mir Mühe geben, dich nicht beim Lernen zu stören.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich werde mir Mühe geben, dich nicht beim Lernen zu stören."",""model"":""UNK"",""editXml"":""Ich werde mir Mühe geben, dich nicht beim Lernen zu stören."",""corrected"":""Ich werde mir Mühe geben, dich nicht beim Lernen zu stören."",""editOps"":[]}"
18,"Ich kann mich nur fragen, ob es für alle anderen dasselbe ist.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich kann mich nur fragen, ob es für alle anderen dasselbe ist."",""model"":""UNK"",""editXml"":""Ich kann mich nur fragen, ob es für alle anderen dasselbe ist."",""corrected"":""Ich kann mich nur fragen, ob es für alle anderen dasselbe ist."",""editOps"":[]}"
19,"Ich vermute, das ist anders, wenn du darüber längerfristig nachdenkst.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich vermute, das ist anders, wenn du darüber längerfristig nachdenkst."",""model"":""UNK"",""editXml"":""Ich vermute, das ist anders, wenn du darüber längerfristig nachdenkst."",""corrected"":""Ich vermute, das ist anders, wenn du darüber längerfristig nachdenkst."",""editOps"":[]}"
20,"Ich werde sie morgen anrufen, wenn ich zurückkomme.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich werde <u title='Sie || sie'>sie<\/u> morgen anrufen, wenn ich zurückkomme."",""model"":""UNK"",""editXml"":""Ich werde <DBT TOK='Sie || sie'>sie<\/DBT> morgen anrufen, wenn ich zurückkomme."",""corrected"":""Ich werde sie morgen anrufen, wenn ich zurückkomme."",""editOps"":[{""LTID"":"""",""beg"":10,""kind"":""DBT"",""alt"":""Sie || sie"",""text"":""sie""}]}"
21,Ich mochte mysteriöse Charaktere schon immer mehr.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich <u title='möchte || mochte'>mochte<\/u> mysteriöse Charaktere schon immer mehr."",""model"":""UNK"",""editXml"":""Ich <DBT TOK='möchte || mochte'>mochte<\/DBT> mysteriöse Charaktere schon immer mehr."",""corrected"":""Ich mochte mysteriöse Charaktere schon immer mehr."",""editOps"":[{""LTID"":"""",""beg"":4,""kind"":""DBT"",""alt"":""möchte || mochte"",""text"":""mochte""}]}"
22,"Ich sagte ihnen, sie sollen mir ein neues Ticket schicken.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich sagte ihnen, sie sollen mir ein neues Ticket schicken."",""model"":""UNK"",""editXml"":""Ich sagte ihnen, sie sollen mir ein neues Ticket schicken."",""corrected"":""Ich sagte ihnen, sie sollen mir ein neues Ticket schicken."",""editOps"":[]}"
23,Du bist so ungeduldig mit mir.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du bist so ungeduldig mit mir."",""model"":""UNK"",""editXml"":""Du bist so ungeduldig mit mir."",""corrected"":""Du bist so ungeduldig mit mir."",""editOps"":[]}"
24,Ich kann so ein Leben nicht leben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich kann so ein Leben nicht leben."",""model"":""UNK"",""editXml"":""Ich kann so ein Leben nicht leben."",""corrected"":""Ich kann so ein Leben nicht leben."",""editOps"":[]}"
25,Ich wollte mal Astrophysiker werden.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich wollte mal Astrophysiker werden."",""model"":""UNK"",""editXml"":""Ich wollte mal Astrophysiker werden."",""corrected"":""Ich wollte mal Astrophysiker werden."",""editOps"":[]}"
26,Ich mochte Biologie noch nie.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich mochte Biologie noch nie."",""model"":""UNK"",""editXml"":""Ich mochte Biologie noch nie."",""corrected"":""Ich mochte Biologie noch nie."",""editOps"":[]}"
27,"Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt."",""model"":""UNK"",""editXml"":""Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt."",""corrected"":""Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt."",""editOps"":[]}"
28,"Wenn die Welt nicht so wäre wie sie jetzt ist, könnte ich jedem vertrauen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wenn die Welt nicht so wäre wie sie jetzt ist, könnte ich jedem vertrauen."",""model"":""UNK"",""editXml"":""Wenn die Welt nicht so wäre wie sie jetzt ist, könnte ich jedem vertrauen."",""corrected"":""Wenn die Welt nicht so wäre wie sie jetzt ist, könnte ich jedem vertrauen."",""editOps"":[]}"
29,"Sie sind zu beschäftigt damit, sich gegenseitig zu bekämpfen, um sich gemeinsamen Idealen zu widmen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sie sind zu beschäftigt damit, sich gegenseitig zu bekämpfen, um sich gemeinsamen Idealen zu widmen."",""model"":""UNK"",""editXml"":""Sie sind zu beschäftigt damit, sich gegenseitig zu bekämpfen, um sich gemeinsamen Idealen zu widmen."",""corrected"":""Sie sind zu beschäftigt damit, sich gegenseitig zu bekämpfen, um sich gemeinsamen Idealen zu widmen."",""editOps"":[]}"
30,"Die meisten Leute denken, ich sei verrückt.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Die meisten Leute denken, ich sei verrückt."",""model"":""UNK"",""editXml"":""Die meisten Leute denken, ich sei verrückt."",""corrected"":""Die meisten Leute denken, ich sei verrückt."",""editOps"":[]}"
31,"Nein, ich bin es nicht, du bist es!","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Nein, ich bin es nicht, du bist es!"",""model"":""UNK"",""editXml"":""Nein, ich bin es nicht, du bist es!"",""corrected"":""Nein, ich bin es nicht, du bist es!"",""editOps"":[]}"
32,Das war mein Satz!,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das war mein Satz!"",""model"":""UNK"",""editXml"":""Das war mein Satz!"",""corrected"":""Das war mein Satz!"",""editOps"":[]}"
33,Dann haben wir ein Problem...,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Dann haben wir ein Problem..."",""model"":""UNK"",""editXml"":""Dann haben wir ein Problem..."",""corrected"":""Dann haben wir ein Problem..."",""editOps"":[]}"
34,"Oh, da ist ein Schmetterling!","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>da<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Oh, da ist ein Schmetterling!"",""model"":""UNK"",""editXml"":""Oh, da ist ein Schmetterling!"",""corrected"":""Oh, da ist ein Schmetterling!"",""editOps"":[]}"
35,Es überrascht mich nicht.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Es überrascht mich nicht."",""model"":""UNK"",""editXml"":""Es überrascht mich nicht."",""corrected"":""Es überrascht mich nicht."",""editOps"":[]}"
36,Wenn ich so sein könnte...,"{""explainHtml"":""<p  class='LT2'><b>Wenn<\/b> : Der von 'wenn' eingeleitete Nebensatz muss in der Regel mit einem Komma vom Hauptsatz getrennt werden.<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Wenn<\/b> : Der von 'wenn' eingeleitete Nebensatz muss in der Regel mit einem Komma vom Hauptsatz getrennt werden.<\/p>\n"",""correctedHtml"":""<u class='LT2'>Wenn<\/u> ich so sein könnte..."",""model"":""UNK"",""editXml"":""<DBT RID='LT2'>Wenn<\/DBT> ich so sein könnte..."",""corrected"":""Wenn ich so sein könnte..."",""editOps"":[{""LTID"":""LT2"",""beg"":0,""kind"":""DBT"",""alt"":"""",""text"":""Wenn""}]}"
37,Aus irgendeinem Grund fühle ich mich nachts lebendiger.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Aus irgendeinem Grund fühle ich mich nachts <u title='lebendig || lebendiger'>lebendiger<\/u>."",""model"":""UNK"",""editXml"":""Aus irgendeinem Grund fühle ich mich nachts <DBT TOK='lebendig || lebendiger'>lebendiger<\/DBT>."",""corrected"":""Aus irgendeinem Grund fühle ich mich nachts lebendiger."",""editOps"":[{""LTID"":"""",""beg"":44,""kind"":""DBT"",""alt"":""lebendig || lebendiger"",""text"":""lebendiger""}]}"
