,Input,Output,Response
1,Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!,Heute ist der 18. Juni und das ist der Geburtstag von Muriel!,"{""explainHtml"":""<p  class='LT2'><b>Muiriel<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Muriel<\/span>, <span class='LTsuggest'>Murmel<\/span>, <span class='LTsuggest'>Mairie<\/span>, <span class='LTsuggest'>Mairien<\/span>, <span class='LTsuggest'>Mairies<\/span>, <span class='LTsuggest'>Muriels<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Muiriel<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Muriel<\/span>, <span class='LTsuggest'>Murmel<\/span>, <span class='LTsuggest'>Mairie<\/span>, <span class='LTsuggest'>Mairien<\/span>, <span class='LTsuggest'>Mairies<\/span>, <span class='LTsuggest'>Muriels<\/span><\/p>\n"",""correctedHtml"":""Heute ist der 18. Juni und das ist der Geburtstag von <b title='Muiriel'><i class='LT2'>Muriel<\/i><\/b>!"",""model"":""UNK"",""editXml"":""Heute ist der 18. Juni und das ist der Geburtstag von <REP TOK='Muriel'><UNK RID='LT2'>Muiriel<\/UNK><\/REP>!"",""corrected"":""Heute ist der 18. Juni und das ist der Geburtstag von Muriel!"",""editOps"":[{""LTID"":""LT2"",""beg"":54,""kind"":""UNK"",""alt"":"""",""text"":""Muiriel""},{""LTID"":"""",""beg"":54,""kind"":""REP"",""alt"":""Muriel"",""text"":""Muiriel""}]}"
2,"Herzlichen Glückwunsch zum Geburtstag, Muiriel!","Herzlichen Glückwunsch zum Geburtstag, Muriel!","{""explainHtml"":""<p  class='LT2'><b>Muiriel<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Muriel<\/span>, <span class='LTsuggest'>Murmel<\/span>, <span class='LTsuggest'>Mairie<\/span>, <span class='LTsuggest'>Mairien<\/span>, <span class='LTsuggest'>Mairies<\/span>, <span class='LTsuggest'>Muriels<\/span><\/p>\n<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Glückwunsch<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Muiriel<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Muriel<\/span>, <span class='LTsuggest'>Murmel<\/span>, <span class='LTsuggest'>Mairie<\/span>, <span class='LTsuggest'>Mairien<\/span>, <span class='LTsuggest'>Mairies<\/span>, <span class='LTsuggest'>Muriels<\/span><\/p>\n"",""correctedHtml"":""Herzlichen Glückwunsch zum Geburtstag, <b title='Muiriel'><i class='LT2'>Muriel<\/i><\/b>!"",""model"":""UNK"",""editXml"":""Herzlichen Glückwunsch zum Geburtstag, <REP TOK='Muriel'><UNK RID='LT2'>Muiriel<\/UNK><\/REP>!"",""corrected"":""Herzlichen Glückwunsch zum Geburtstag, Muriel!"",""editOps"":[{""LTID"":""LT2"",""beg"":39,""kind"":""UNK"",""alt"":"""",""text"":""Muiriel""},{""LTID"":"""",""beg"":39,""kind"":""REP"",""alt"":""Muriel"",""text"":""Muiriel""}]}"
3,Muiriel ist jetzt 20.,Muriel ist jetzt 20.,"{""explainHtml"":""<p  class='LT2'><b>Muiriel<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Muriel<\/span>, <span class='LTsuggest'>Murmel<\/span>, <span class='LTsuggest'>Mairie<\/span>, <span class='LTsuggest'>Mairien<\/span>, <span class='LTsuggest'>Mairies<\/span>, <span class='LTsuggest'>Muriels<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Muiriel<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Muriel<\/span>, <span class='LTsuggest'>Murmel<\/span>, <span class='LTsuggest'>Mairie<\/span>, <span class='LTsuggest'>Mairien<\/span>, <span class='LTsuggest'>Mairies<\/span>, <span class='LTsuggest'>Muriels<\/span><\/p>\n"",""correctedHtml"":""<b title='Muiriel'><i class='LT2'>Muriel<\/i><\/b> ist jetzt 20."",""model"":""UNK"",""editXml"":""<REP TOK='Muriel'><UNK RID='LT2'>Muiriel<\/UNK><\/REP> ist jetzt 20."",""corrected"":""Muriel ist jetzt 20."",""editOps"":[{""LTID"":""LT2"",""beg"":0,""kind"":""UNK"",""alt"":"""",""text"":""Muiriel""},{""LTID"":"""",""beg"":0,""kind"":""REP"",""alt"":""Muriel"",""text"":""Muiriel""}]}"
4,Er tritt mich!!,Er tritt mir!!,"{""explainHtml"":""<p  class='LT2'><b>!!<\/b> : Die Verwendung von mehreren Frage- oder Ausrufezeichen wirkt oft übertrieben emphatisch.<br\/>→ <span class='LTsuggest'>!<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>!!<\/b> : Die Verwendung von mehreren Frage- oder Ausrufezeichen wirkt oft übertrieben emphatisch.<br\/>→ <span class='LTsuggest'>!<\/span><\/p>\n"",""correctedHtml"":""Er tritt <b title='mich'>mir<\/b><u class='LT2'>!<\/u><u class='LT2'>!<\/u>"",""model"":""UNK"",""editXml"":""Er tritt <REP TOK='mir'>mich<\/REP><DBT RID='LT2'>!<\/DBT><DBT RID='LT2'>!<\/DBT>"",""corrected"":""Er tritt mir!!"",""editOps"":[{""LTID"":"""",""beg"":9,""kind"":""REP"",""alt"":""mir"",""text"":""mich""},{""LTID"":""LT2"",""beg"":13,""kind"":""DBT"",""alt"":"""",""text"":""!""},{""LTID"":""LT2"",""beg"":14,""kind"":""DBT"",""alt"":"""",""text"":""!""}]}"
5,Unterschätze meine Macht nicht.,"Unterschätze, meine Macht nicht.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Unterschätze<b>,<\/b> meine Macht nicht."",""model"":""UNK"",""editXml"":""Unterschätze<INS TOK=''\/> meine Macht nicht."",""corrected"":""Unterschätze, meine Macht nicht."",""editOps"":[]}"
6,"Wieso tut dir etwas leid, dass du nicht gemacht hast?","Wieso tut dir etwas Leid, das du nicht gemacht hast?","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wieso tut dir etwas <b title='leid'>Leid<\/b>, <b title='dass'>das<\/b> du nicht gemacht hast?"",""model"":""UNK"",""editXml"":""Wieso tut dir etwas <REP TOK='Leid'>leid<\/REP>, <REP TOK='das'>dass<\/REP> du nicht gemacht hast?"",""corrected"":""Wieso tut dir etwas Leid, das du nicht gemacht hast?"",""editOps"":[{""LTID"":"""",""beg"":20,""kind"":""REP"",""alt"":""Leid"",""text"":""leid""},{""LTID"":"""",""beg"":26,""kind"":""REP"",""alt"":""das"",""text"":""dass""}]}"
7,"Ich vermute, dass es hinter jeder Sache, die wir tun müssen, etwas gibt, dass wir tun wollen...","Ich vermute, dass es hinter jeder Sache, die wir tun müssen, etwas gibt, das wir tun wollen...","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich vermute, dass es hinter jeder Sache, die wir tun müssen, etwas gibt, <b title='dass'>das<\/b> wir tun wollen..."",""model"":""UNK"",""editXml"":""Ich vermute, dass es hinter jeder Sache, die wir tun müssen, etwas gibt, <REP TOK='das'>dass<\/REP> wir tun wollen..."",""corrected"":""Ich vermute, dass es hinter jeder Sache, die wir tun müssen, etwas gibt, das wir tun wollen..."",""editOps"":[{""LTID"":"""",""beg"":73,""kind"":""REP"",""alt"":""das"",""text"":""dass""}]}"
8,"„Was passiert in der Höhle? Ich bin neugierig."" „Ich habe keine Ahnung.""","„Was passiert in der Höhle? Ich bin neugierig. "" „Ich habe keine Ahnung.""","{""explainHtml"":""<p  class='LT2'><b>\u201E<\/b> : Zeichen ohne sein Gegenstück: '\u201C' scheint zu fehlen<\/p>\n<p  class='LT4'><b>\""<\/b> : Zeichen ohne sein Gegenstück: '\""' scheint zu fehlen<\/p>\n<p  class='LT6'><b>\""<\/b> : Zeichen ohne sein Gegenstück: '\""' scheint zu fehlen<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>\u201E<\/b> : Zeichen ohne sein Gegenstück: '\u201C' scheint zu fehlen<\/p>\n<p  class='LT0'><b>\""<\/b> : Zeichen ohne sein Gegenstück: '\""' scheint zu fehlen<\/p>\n<p  class='LT0'><b>\""<\/b> : Zeichen ohne sein Gegenstück: '\""' scheint zu fehlen<\/p>\n"",""correctedHtml"":""<u class='LT2'>\u201E<\/u>Was passiert in der <u title='Hölle || Höhle'>Höhle<\/u>? Ich bin neugierig.<b> <\/b><u class='LT4'>\""<\/u> \u201EIch habe keine Ahnung.<u class='LT6'>\""<\/u>"",""model"":""UNK"",""editXml"":""<DBT RID='LT2'>\u201E<\/DBT>Was passiert in der <DBT TOK='Hölle || Höhle'>Höhle<\/DBT>? Ich bin neugierig.<INS TOK=' '\/><DBT RID='LT4'>\""<\/DBT> \u201EIch habe keine Ahnung.<DBT RID='LT6'>\""<\/DBT>"",""corrected"":""\u201EWas passiert in der Höhle? Ich bin neugierig. \"" \u201EIch habe keine Ahnung.\"""",""editOps"":[{""LTID"":""LT2"",""beg"":0,""kind"":""DBT"",""alt"":"""",""text"":""\u201E""},{""LTID"":"""",""beg"":21,""kind"":""DBT"",""alt"":""Hölle || Höhle"",""text"":""Höhle""},{""LTID"":""LT4"",""beg"":46,""kind"":""DBT"",""alt"":"""",""text"":""\""""},{""LTID"":""LT6"",""beg"":71,""kind"":""DBT"",""alt"":"""",""text"":""\""""}]}"
9,Ihre Kommunikation ist vielleicht viel komplexer als wir dachten.,"Ihre Kommunikation ist vielleicht viel komplexer, als wir dachten.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ihre Kommunikation ist vielleicht viel komplexer<b>,<\/b> als wir dachten."",""model"":""UNK"",""editXml"":""Ihre Kommunikation ist vielleicht viel komplexer<INS TOK=','\/> als wir dachten."",""corrected"":""Ihre Kommunikation ist vielleicht viel komplexer, als wir dachten."",""editOps"":[]}"
10,"""Das Telefon klingelt."" ""Ich geh' dran.""","""Das Telefon klingelt."" ""Ich geh 'dran.""","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""\""Das Telefon klingelt.\"" \""Ich geh<b> <\/b>'<img src='BugSmall.png' class='smallbug'  title=' '\/>dran.\"""",""model"":""UNK"",""editXml"":""\""Das Telefon klingelt.\"" \""Ich geh<INS TOK=' '\/>'<DEL TOK=''> <\/DEL>dran.\"""",""corrected"":""\""Das Telefon klingelt.\"" \""Ich geh 'dran.\"""",""editOps"":[{""LTID"":"""",""beg"":33,""kind"":""DEL"",""alt"":"""",""text"":"" ""}]}"
11,"""Das ist sehr nett von Ihnen"", antwortete Willie.","""Das ist sehr nett von Ihnen"", antwortete Willy.","{""explainHtml"":""<p  class='LT2'><b>Willie<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Willi<\/span>, <span class='LTsuggest'>William<\/span>, <span class='LTsuggest'>Willig<\/span>, <span class='LTsuggest'>Willen<\/span>, <span class='LTsuggest'>Willy<\/span>, <span class='LTsuggest'>Willige<\/span>, <span class='LTsuggest'>Willigt<\/span>, <span class='LTsuggest'>Wille<\/span>, <span class='LTsuggest'>Viele<\/span>, <span class='LTsuggest'>Willis<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Willie<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Willi<\/span>, <span class='LTsuggest'>William<\/span>, <span class='LTsuggest'>Willig<\/span>, <span class='LTsuggest'>Willen<\/span>, <span class='LTsuggest'>Willy<\/span>, <span class='LTsuggest'>Willige<\/span>, <span class='LTsuggest'>Willigt<\/span>, <span class='LTsuggest'>Wille<\/span>, <span class='LTsuggest'>Viele<\/span>, <span class='LTsuggest'>Willis<\/span><\/p>\n"",""correctedHtml"":""\""Das ist sehr nett von Ihnen\"", antwortete <b title='Willie'><i class='LT2'>Willy<\/i><\/b>."",""model"":""UNK"",""editXml"":""\""Das ist sehr nett von Ihnen\"", antwortete <REP TOK='Willy'><UNK RID='LT2'>Willie<\/UNK><\/REP>."",""corrected"":""\""Das ist sehr nett von Ihnen\"", antwortete Willy."",""editOps"":[{""LTID"":""LT2"",""beg"":42,""kind"":""UNK"",""alt"":"""",""text"":""Willie""},{""LTID"":"""",""beg"":42,""kind"":""REP"",""alt"":""Willy"",""text"":""Willie""}]}"
12,"Wenn man nicht isst, stirbt man.","Wenn man nicht ist, stirbt man.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wenn man nicht <b title='isst'>ist<\/b>, stirbt man."",""model"":""UNK"",""editXml"":""Wenn man nicht <REP TOK='ist'>isst<\/REP>, stirbt man."",""corrected"":""Wenn man nicht ist, stirbt man."",""editOps"":[{""LTID"":"""",""beg"":15,""kind"":""REP"",""alt"":""ist"",""text"":""isst""}]}"
13,"Wie schreibt man ""pretty""?","Wie schreibt man ""Pretty""?","{""explainHtml"":""<p  class='LT2'><b>pretty<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Freddy<\/span>, <span class='LTsuggest'>breit<\/span>, <span class='LTsuggest'>breite<\/span>, <span class='LTsuggest'>prägte<\/span>, <span class='LTsuggest'>prägt<\/span>, <span class='LTsuggest'>Betty<\/span>, <span class='LTsuggest'>Brett<\/span>, <span class='LTsuggest'>brutto<\/span>, <span class='LTsuggest'>rette<\/span>, <span class='LTsuggest'>beredt<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>pretty<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Freddy<\/span>, <span class='LTsuggest'>breit<\/span>, <span class='LTsuggest'>breite<\/span>, <span class='LTsuggest'>prägte<\/span>, <span class='LTsuggest'>prägt<\/span>, <span class='LTsuggest'>Betty<\/span>, <span class='LTsuggest'>Brett<\/span>, <span class='LTsuggest'>brutto<\/span>, <span class='LTsuggest'>rette<\/span>, <span class='LTsuggest'>beredt<\/span><\/p>\n"",""correctedHtml"":""Wie schreibt man \""<b title='pretty'><i class='LT2'>Pretty<\/i><\/b>\""?"",""model"":""UNK"",""editXml"":""Wie schreibt man \""<REP TOK='Pretty'><UNK RID='LT2'>pretty<\/UNK><\/REP>\""?"",""corrected"":""Wie schreibt man \""Pretty\""?"",""editOps"":[{""LTID"":""LT2"",""beg"":18,""kind"":""UNK"",""alt"":"""",""text"":""pretty""},{""LTID"":"""",""beg"":18,""kind"":""REP"",""alt"":""Pretty"",""text"":""pretty""}]}"
14,Sind sie alle gleich?,Sind Sie alle gleich?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sind <b title='sie'>Sie<\/b> alle gleich?"",""model"":""UNK"",""editXml"":""Sind <REP TOK='Sie'>sie<\/REP> alle gleich?"",""corrected"":""Sind Sie alle gleich?"",""editOps"":[{""LTID"":"""",""beg"":5,""kind"":""REP"",""alt"":""Sie"",""text"":""sie""}]}"
