,Input,Output,Response
1,"Genau dann können Sie, wenn Sie wollen, diese Frage ansprechen, d. h. am Donnerstag zu Beginn der Aussprache über den Bericht.","Genau dann können Sie, wenn Sie wollen, diese Frage ansprechen, d.h. am Donnerstag zu Beginn der Aussprache über den Bericht.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Genau dann können Sie, wenn Sie wollen, diese Frage ansprechen, d.<img src='BugSmall.png' class='smallbug'  title=' '\/>h. am Donnerstag zu Beginn der Aussprache über den Bericht."",""model"":""UNK"",""editXml"":""Genau dann können Sie, wenn Sie wollen, diese Frage ansprechen, d.<DEL TOK=' '> <\/DEL>h. am Donnerstag zu Beginn der Aussprache über den Bericht."",""corrected"":""Genau dann können Sie, wenn Sie wollen, diese Frage ansprechen, d.h. am Donnerstag zu Beginn der Aussprache über den Bericht."",""editOps"":[{""LTID"":"""",""beg"":66,""kind"":""DEL"",""alt"":"" "",""text"":"" ""}]}"
2,"Frau Lynne, Sie haben völlig Recht, und ich werde prüfen, ob all dies wirklich so ist.","Frau Lynne, Sie haben völlig recht, und ich werde prüfen, ob all dies wirklich so ist.","{""explainHtml"":""<p  class='LT2'><b>Lynne<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Linné<\/span>, <span class='LTsuggest'>Lange<\/span>, <span class='LTsuggest'>Lenne<\/span>, <span class='LTsuggest'>Inne<\/span>, <span class='LTsuggest'>Lynn<\/span>, <span class='LTsuggest'>Könne<\/span>, <span class='LTsuggest'>Lynns<\/span>, <span class='LTsuggest'>Sinne<\/span>, <span class='LTsuggest'>Linie<\/span>, <span class='LTsuggest'>Linke<\/span><\/p>\n<p  class='LT4'><b>Recht<\/b> : Empfehlung: Schreiben Sie das Wort \""Recht\"" im Zusammenhang mit \""recht haben\"" oder \""recht geben\"" klein.<br\/>→ <span class='LTsuggest'>recht<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Lynne<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Linné<\/span>, <span class='LTsuggest'>Lange<\/span>, <span class='LTsuggest'>Lenne<\/span>, <span class='LTsuggest'>Inne<\/span>, <span class='LTsuggest'>Lynn<\/span>, <span class='LTsuggest'>Könne<\/span>, <span class='LTsuggest'>Lynns<\/span>, <span class='LTsuggest'>Sinne<\/span>, <span class='LTsuggest'>Linie<\/span>, <span class='LTsuggest'>Linke<\/span><\/p>\n<p  class='LT0'><b>Recht<\/b> : Empfehlung: Schreiben Sie das Wort \""Recht\"" im Zusammenhang mit \""recht haben\"" oder \""recht geben\"" klein.<br\/>→ <span class='LTsuggest'>recht<\/span><\/p>\n"",""correctedHtml"":""Frau <i class='LT2'>Lynne<\/i>, Sie haben völlig <b title='Recht'><u class='LT4'>recht<\/u><\/b>, und ich werde prüfen, ob all dies wirklich so ist."",""model"":""UNK"",""editXml"":""Frau <UNK RID='LT2'>Lynne<\/UNK>, Sie haben völlig <REP TOK='recht'><DBT RID='LT4'>Recht<\/DBT><\/REP>, und ich werde prüfen, ob all dies wirklich so ist."",""corrected"":""Frau Lynne, Sie haben völlig recht, und ich werde prüfen, ob all dies wirklich so ist."",""editOps"":[{""LTID"":""LT2"",""beg"":5,""kind"":""UNK"",""alt"":"""",""text"":""Lynne""},{""LTID"":""LT4"",""beg"":29,""kind"":""DBT"",""alt"":"""",""text"":""Recht""},{""LTID"":"""",""beg"":29,""kind"":""REP"",""alt"":""recht"",""text"":""Recht""}]}"
3,Nach den Worten ihres Präsidenten ist sie dazu in der Lage.,Nach den Worten Ihres Präsidenten ist sie dazu in der Lage.,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Worten<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Nach den Worten <b title='ihres'>Ihres<\/b> Präsidenten ist sie dazu in der Lage."",""model"":""UNK"",""editXml"":""Nach den Worten <REP TOK='Ihres'>ihres<\/REP> Präsidenten ist sie dazu in der Lage."",""corrected"":""Nach den Worten Ihres Präsidenten ist sie dazu in der Lage."",""editOps"":[{""LTID"":"""",""beg"":16,""kind"":""REP"",""alt"":""Ihres"",""text"":""ihres""}]}"
4,"Wir haben gesagt, o. k, wenn die Kommission das Programm 2000 noch nicht im Januar machen will, dann machen wir das im Februar.","Wir haben gesagt, O. K, wenn die Kommission das Programm 2000 noch nicht im Januar machen will, dann machen wir das im Februar.","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Kommission<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Wir haben gesagt, <b title='o'>O<\/b>.<b title=' k'> K<\/b>, wenn die Kommission das Programm 2000 noch nicht im Januar machen will, dann machen wir das im Februar."",""model"":""UNK"",""editXml"":""Wir haben gesagt, <REP TOK='O'>o<\/REP>.<REP TOK=' K'> k<\/REP>, wenn die Kommission das Programm 2000 noch nicht im Januar machen will, dann machen wir das im Februar."",""corrected"":""Wir haben gesagt, O. K, wenn die Kommission das Programm 2000 noch nicht im Januar machen will, dann machen wir das im Februar."",""editOps"":[{""LTID"":"""",""beg"":18,""kind"":""REP"",""alt"":""O"",""text"":""o""},{""LTID"":"""",""beg"":20,""kind"":""REP"",""alt"":"" K"",""text"":"" k""}]}"
5,Ich halte das für besser als jetzt lange Stimmerklärungen abzugeben.,"Ich halte das für besser, als jetzt lange Stimmerklärungen abzugeben.","{""explainHtml"":""<p  class='LT2'><b> als<\/b> : Wenn eine Infinitivgruppe ('zu' + Grundform) mit 'als' eingeleitet wird, muss ein Komma gesetzt werden.<br\/>→ <span class='LTsuggest'>, als<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b> als<\/b> : Wenn eine Infinitivgruppe ('zu' + Grundform) mit 'als' eingeleitet wird, muss ein Komma gesetzt werden.<br\/>→ <span class='LTsuggest'>, als<\/span><\/p>\n"",""correctedHtml"":""Ich halte das für besser<b>,<\/b> <u class='LT2'>als<\/u> jetzt lange Stimmerklärungen abzugeben."",""model"":""UNK"",""editXml"":""Ich halte das für besser<INS TOK=''\/> <DBT RID='LT2'>als<\/DBT> jetzt lange Stimmerklärungen abzugeben."",""corrected"":""Ich halte das für besser, als jetzt lange Stimmerklärungen abzugeben."",""editOps"":[{""LTID"":""LT2"",""beg"":25,""kind"":""DBT"",""alt"":"""",""text"":""als""}]}"
6,"Wir dürfen uns freilich nicht damit begnügen, europäisches Recht im Dienste von mehr Sicherheit zu schaffen.","Wir dürfen uns freilich nicht damit begnügen, europäisches Recht in Dienste von mehr Sicherheit zu schaffen.","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>dürfen, uns<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Wir dürfen uns freilich nicht damit begnügen, europäisches Recht <b title='im'>in<\/b> Dienste von mehr Sicherheit zu schaffen."",""model"":""UNK"",""editXml"":""Wir dürfen uns freilich nicht damit begnügen, europäisches Recht <REP TOK='in'>im<\/REP> Dienste von mehr Sicherheit zu schaffen."",""corrected"":""Wir dürfen uns freilich nicht damit begnügen, europäisches Recht in Dienste von mehr Sicherheit zu schaffen."",""editOps"":[{""LTID"":"""",""beg"":65,""kind"":""REP"",""alt"":""in"",""text"":""im""}]}"
7,"Oder denken Sie an Schiffer von osteuropäischen Schiffen, die hier neben anderen ankern und von denen ganz offensichtlich Gefahren ausgehen.","Oder denken Sie an Schiefer von osteuropäischen Schiffen, die hier neben anderen ankern und von denen ganz offensichtlich Gefahren ausgehen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Oder denken Sie an <b title='Schiffer'>Schiefer<\/b> von osteuropäischen Schiffen, die hier neben anderen <u title='Ankern || ankern'>ankern<\/u> und von denen ganz offensichtlich Gefahren ausgehen."",""model"":""UNK"",""editXml"":""Oder denken Sie an <REP TOK='Schiefer'>Schiffer<\/REP> von osteuropäischen Schiffen, die hier neben anderen <DBT TOK='Ankern || ankern'>ankern<\/DBT> und von denen ganz offensichtlich Gefahren ausgehen."",""corrected"":""Oder denken Sie an Schiefer von osteuropäischen Schiffen, die hier neben anderen ankern und von denen ganz offensichtlich Gefahren ausgehen."",""editOps"":[{""LTID"":"""",""beg"":19,""kind"":""REP"",""alt"":""Schiefer"",""text"":""Schiffer""},{""LTID"":"""",""beg"":81,""kind"":""DBT"",""alt"":""Ankern || ankern"",""text"":""ankern""}]}"
8,Der heute zur Diskussion stehende Vorschlag für eine Änderung der Richtlinie betreffend Gefahrguttransporte auf der Straße stammt jedoch vom Mai 1999 und konnte somit das aktuelle Komitologieverfahren noch nicht berücksichtigen.,Der heute zur Diskussion stehende Vorschlag für eine Änderung der Richtlinie betreffend Gefahrguttransporte auf der Straße stand jedoch vom Mai 1999 und konnte somit das aktuelle Komitologieverfahren noch nicht berücksichtigen.,"{""explainHtml"":""<p  class='LT2'><b>Komitologieverfahren<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Komitologie verfahren<\/span><\/p>\n<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Komitologieverfahren<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Komitologieverfahren<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Komitologie verfahren<\/span><\/p>\n"",""correctedHtml"":""Der heute zur Diskussion stehende Vorschlag für eine Änderung der Richtlinie betreffend Gefahrguttransporte auf der Straße <b title='stammt'>stand<\/b> jedoch vom Mai 1999 und konnte somit das aktuelle <i class='LT2'>Komitologieverfahren<\/i> noch nicht berücksichtigen."",""model"":""UNK"",""editXml"":""Der heute zur Diskussion stehende Vorschlag für eine Änderung der Richtlinie betreffend Gefahrguttransporte auf der Straße <REP TOK='stand'>stammt<\/REP> jedoch vom Mai 1999 und konnte somit das aktuelle <UNK RID='LT2'>Komitologieverfahren<\/UNK> noch nicht berücksichtigen."",""corrected"":""Der heute zur Diskussion stehende Vorschlag für eine Änderung der Richtlinie betreffend Gefahrguttransporte auf der Straße stand jedoch vom Mai 1999 und konnte somit das aktuelle Komitologieverfahren noch nicht berücksichtigen."",""editOps"":[{""LTID"":"""",""beg"":123,""kind"":""REP"",""alt"":""stand"",""text"":""stammt""},{""LTID"":""LT2"",""beg"":180,""kind"":""UNK"",""alt"":"""",""text"":""Komitologieverfahren""}]}"
9,"Ein weiterer Änderungsantrag erlaubt es den Mitgliedstaaten, schärfere Forderungen, insbesondere für Vakuumtanks, zu erlassen, wenn vorrangig bei Temperaturen weit unter minus 20º C gearbeitet bzw. transportiert wird.","Ein weiterer Änderungsantrag erlaubt es den Mitgliedstaaten, schärfere Forderungen, insbesondere für Vakuumtanks, zu erlassen, wenn vorrangig bei Temperaturen weit unter minus 20o C gearbeitet bzw. transportiert wird.","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>schärfere, Forderungen, C<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Ein weiterer Änderungsantrag erlaubt es den Mitgliedstaaten, schärfere Forderungen, insbesondere für Vakuumtanks, zu erlassen, wenn vorrangig bei Temperaturen weit unter minus <b title='20º'>20o<\/b> C gearbeitet bzw. transportiert wird."",""model"":""UNK"",""editXml"":""Ein weiterer Änderungsantrag erlaubt es den Mitgliedstaaten, schärfere Forderungen, insbesondere für Vakuumtanks, zu erlassen, wenn vorrangig bei Temperaturen weit unter minus <REP TOK='20o'>20º<\/REP> C gearbeitet bzw. transportiert wird."",""corrected"":""Ein weiterer Änderungsantrag erlaubt es den Mitgliedstaaten, schärfere Forderungen, insbesondere für Vakuumtanks, zu erlassen, wenn vorrangig bei Temperaturen weit unter minus 20o C gearbeitet bzw. transportiert wird."",""editOps"":[{""LTID"":"""",""beg"":176,""kind"":""REP"",""alt"":""20o"",""text"":""20º""}]}"
10,"Darin geht es um die Sozialwirtschaft und die Notwendigkeit der Bereitstellung von ""social risk capital"" und der finanziellen Unterstützung von lokalen Programmen zur Schaffung von Beschäftigungsmöglichkeiten und zur Stärkung des sozialen Zusammenhalts.","Darin geht es um die Sozialwirtschaft und die Notwendigkeit der Bereitstellung von ""Social Risk Capital"" und der finanziellen Unterstützung von lokalen Programmen zur Schaffung von Beschäftigungsmöglichkeiten und zur Stärkung des sozialen Zusammenhalts.","{""explainHtml"":""<p  class='LT4'><b>social<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>sozial<\/span>, <span class='LTsuggest'>soziale<\/span>, <span class='LTsuggest'>Sozial<\/span>, <span class='LTsuggest'>sozialen<\/span>, <span class='LTsuggest'>lokal<\/span>, <span class='LTsuggest'>soviel<\/span>, <span class='LTsuggest'>sozialer<\/span>, <span class='LTsuggest'>Pokal<\/span>, <span class='LTsuggest'>soziales<\/span>, <span class='LTsuggest'>Nokia<\/span><\/p>\n<p  class='LT5'><b>risk<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>riss<\/span>, <span class='LTsuggest'>Frick<\/span>, <span class='LTsuggest'>Pieck<\/span>, <span class='LTsuggest'>Tieck<\/span>, <span class='LTsuggest'>Disc<\/span>, <span class='LTsuggest'>Disk<\/span>, <span class='LTsuggest'>Trick<\/span>, <span class='LTsuggest'>ist<\/span>, <span class='LTsuggest'>bis<\/span>, <span class='LTsuggest'>ging<\/span><\/p>\n<p  class='LT6'><b>capital<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>kapital<\/span>, <span class='LTsuggest'>Babytal<\/span>, <span class='LTsuggest'>Kapital<\/span>, <span class='LTsuggest'>Maital<\/span>, <span class='LTsuggest'>kapitale<\/span>, <span class='LTsuggest'>Zapftal<\/span>, <span class='LTsuggest'>Papptal<\/span>, <span class='LTsuggest'>Kapitel<\/span>, <span class='LTsuggest'>Nazital<\/span>, <span class='LTsuggest'>Kapitän<\/span><\/p>\n<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Beschäftigungsmöglichkeiten<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>social<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>sozial<\/span>, <span class='LTsuggest'>soziale<\/span>, <span class='LTsuggest'>Sozial<\/span>, <span class='LTsuggest'>sozialen<\/span>, <span class='LTsuggest'>lokal<\/span>, <span class='LTsuggest'>soviel<\/span>, <span class='LTsuggest'>sozialer<\/span>, <span class='LTsuggest'>Pokal<\/span>, <span class='LTsuggest'>soziales<\/span>, <span class='LTsuggest'>Nokia<\/span><\/p>\n<p  class='LT0'><b>risk<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>riss<\/span>, <span class='LTsuggest'>Frick<\/span>, <span class='LTsuggest'>Pieck<\/span>, <span class='LTsuggest'>Tieck<\/span>, <span class='LTsuggest'>Disc<\/span>, <span class='LTsuggest'>Disk<\/span>, <span class='LTsuggest'>Trick<\/span>, <span class='LTsuggest'>ist<\/span>, <span class='LTsuggest'>bis<\/span>, <span class='LTsuggest'>ging<\/span><\/p>\n<p  class='LT0'><b>capital<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>kapital<\/span>, <span class='LTsuggest'>Babytal<\/span>, <span class='LTsuggest'>Kapital<\/span>, <span class='LTsuggest'>Maital<\/span>, <span class='LTsuggest'>kapitale<\/span>, <span class='LTsuggest'>Zapftal<\/span>, <span class='LTsuggest'>Papptal<\/span>, <span class='LTsuggest'>Kapitel<\/span>, <span class='LTsuggest'>Nazital<\/span>, <span class='LTsuggest'>Kapitän<\/span><\/p>\n"",""correctedHtml"":""Darin geht es um die Sozialwirtschaft und die Notwendigkeit der Bereitstellung von \""<b title='social risk capital'><i class='LT4'>Social<\/i> <i class='LT5'>Risk<\/i> <i class='LT6'>Capital<\/i><\/b>\"" und der finanziellen Unterstützung von lokalen Programmen zur Schaffung von Beschäftigungsmöglichkeiten und zur Stärkung des sozialen Zusammenhalts."",""model"":""UNK"",""editXml"":""Darin geht es um die Sozialwirtschaft und die Notwendigkeit der Bereitstellung von \""<REP TOK='Social Risk Capital'><UNK RID='LT4'>social<\/UNK> <UNK RID='LT5'>risk<\/UNK> <UNK RID='LT6'>capital<\/UNK><\/REP>\"" und der finanziellen Unterstützung von lokalen Programmen zur Schaffung von Beschäftigungsmöglichkeiten und zur Stärkung des sozialen Zusammenhalts."",""corrected"":""Darin geht es um die Sozialwirtschaft und die Notwendigkeit der Bereitstellung von \""Social Risk Capital\"" und der finanziellen Unterstützung von lokalen Programmen zur Schaffung von Beschäftigungsmöglichkeiten und zur Stärkung des sozialen Zusammenhalts."",""editOps"":[{""LTID"":""LT4"",""beg"":84,""kind"":""UNK"",""alt"":"""",""text"":""social""},{""LTID"":""LT5"",""beg"":91,""kind"":""UNK"",""alt"":"""",""text"":""risk""},{""LTID"":""LT6"",""beg"":96,""kind"":""UNK"",""alt"":"""",""text"":""capital""},{""LTID"":"""",""beg"":84,""kind"":""REP"",""alt"":""Social Risk Capital"",""text"":""social risk capital""}]}"
